Artist,Number of weeks in top ten,Peak,Peak date,Title,Top ten entry date,Year
Roy Orbison,4,1,5-Jun,Running Scared,22-May,1961
Connie Francis,3,7,29-May,Breakin' in a Brand New Broken Heart,22-May,1961
Ricky Nelson,1,9,22-May,Hello Mary Lou,22-May,1961
Elvis Presley,3,5,5-Jun,I Feel So Bad,29-May,1961
The Fleetwoods,1,10,29-May,Tragedy,29-May,1961
Ben E. King,4,4,12-Jun,Stand by Me,5-Jun,1961
Pat Boone,6,1,19-Jun,Moody River,5-Jun,1961
Dee Clark,8,2,26-Jun,Raindrops,5-Jun,1961
Adam Wade,5,5,3-Jul,The Writing on the Wall,12-Jun,1961
The Pips,6,6,10-Jul,Every Beat of My Heart,12-Jun,1961
Gary U.S. Bonds,8,1,26-Jun,Quarter to Three,12-Jun,1961
Brook Benton,8,2,10-Jul,The Boll Weevil Song,12-Jun,1961
Bobby Lewis,12,1,10-Jul,Tossin' and Turnin',19-Jun,1961
Little Caesar & the Romans,3,9,26-Jun,Those Oldies but Goodies (Remind Me of You),19-Jun,1961
Arthur Lyman,5,4,24-Jul,Yellow Bird,3-Jul,1961
Del Shannon,5,5,31-Jul,Hats Off to Larry,10-Jul,1961
Paul Anka,1,10,10-Jul,Dance on Little Girl,10-Jul,1961
Floyd Cramer,1,8,17-Jul,San Antonio Rose,17-Jul,1961
Chris Kenner,7,2,31-Jul,I Like It Like That,17-Jul,1961
Brenda Lee,6,4,31-Jul,Dum Dum,17-Jul,1961
Connie Francis,4,6,7-Aug,Together,24-Jul,1961
Chubby Checker,5,8,7-Aug,Let's Twist Again,24-Jul,1961
The Mar-Keys,5,3,7-Aug,Last Night,31-Jul,1961
Curtis Lee,4,7,7-Aug,Pretty Little Angel Eyes,7-Aug,1961
Joe Dowell,7,1,28-Aug,Wooden Heart (Muss i denn),7-Aug,1961
The Highwaymen,9,1,4-Sep,Michael,7-Aug,1961
Gary U.S. Bonds,4,5,4-Sep,School Is Out,14-Aug,1961
Ral Donner,4,4,4-Sep,You Don't Know What You've Got (Until You Lose It),21-Aug,1961
Linda Scott,2,9,28-Aug,Don't Bet Money Honey,28-Aug,1961
Timi Yuro,3,4,11-Sep,Hurt,28-Aug,1961
Bobby Vee,7,1,18-Sep,Take Good Care of My Baby,4-Sep,1961
The Jive Five,4,3,11-Sep,My True Story,4-Sep,1961
Adam Wade,2,10,4-Sep,As If I Didn't Know,4-Sep,1961
Lonnie Donegan,4,5,25-Sep,Does Your Chewing Gum Lose Its Flavor (on the Bedpost Overnight),11-Sep,1961
Barry Mann,2,7,25-Sep,"Who Put the Bomp (in the Bomp, Bomp, Bomp)",11-Sep,1961
Elvis Presley,4,5,2-Oct,Little Sister,11-Sep,1961
Elvis Presley,2,4,18-Sep,(Marie's the Name) His Latest Flame,18-Sep,1961
Roy Orbison,5,2,9-Oct,Crying,18-Sep,1961
Johnny Tillotson,2,7,18-Sep,Without You,18-Sep,1961
Bobby Lewis,1,9,18-Sep,One Track Mind,18-Sep,1961
The Dreamlovers,1,10,18-Sep,When We Get Married,18-Sep,1961
Dick and Dee Dee,3,2,25-Sep,The Mountain's High,25-Sep,1961
Ray Charles,8,1,9-Oct,Hit the Road Jack,2-Oct,1961
Bob Moore,3,7,2-Oct,Mexico,2-Oct,1961
Bobby Darin,3,5,16-Oct,You Must Have Been a Beautiful Baby,2-Oct,1961
The Dovells,9,2,23-Oct,Bristol Stomp,2-Oct,1961
Dion,9,1,23-Oct,Runaround Sue,9-Oct,1961
Hayley Mills,3,8,23-Oct,Let's Get Together,9-Oct,1961
Sue Thompson,5,5,23-Oct,Sad Movies (Make Me Cry),16-Oct,1961
Jimmy Dean,10,1,6-Nov,Big Bad John,16-Oct,1961
Lee Dorsey,3,7,30-Oct,Ya Ya,16-Oct,1961
Troy Shondell,6,6,23-Oct,This Time,23-Oct,1961
The Paris Sisters,3,5,30-Oct,I Love How You Love Me,23-Oct,1961
Chubby Checker,5,7,13-Nov,The Fly,23-Oct,1961
Brenda Lee,5,3,13-Nov,Fool #1,6-Nov,1961
Gene McDaniels,5,5,13-Nov,Tower of Strength,6-Nov,1961
The Marvelettes,7,1,11-Dec,Please Mr. Postman,13-Nov,1961
James Darren,7,3,4-Dec,Goodbye Cruel World,20-Nov,1961
The Marcels,1,7,27-Nov,Heartaches,27-Nov,1961
Patsy Cline,2,9,27-Nov,Crazy,27-Nov,1961
Leroy Van Dyke,8,5,11-Dec,Walk on By,4-Dec,1961
The G-Clefs,1,9,4-Dec,I Understand (Just How You Feel),4-Dec,1961
The Tokens,8,1,18-Dec,The Lion Sleeps Tonight,11-Dec,1961
Bobby Vee,6,2,25-Dec,Run to Him,11-Dec,1961
Ferrante & Teicher,1,8,11-Dec,Tonight,11-Dec,1961
Sandy Nelson,3,7,18-Dec,Let There Be Drums,11-Dec,1961
Chubby Checker,13,1,13-Jan,The Twist,4-Dec,1962
Neil Sedaka,6,6,6-Jan,"Happy Birthday, Sweet Sixteen",11-Dec,1962
Joey Dee and the Starliters,11,1,27-Jan,Peppermint Twist - Part 1,18-Dec,1962
Elvis Presley,8,2,3-Feb,Can't Help Falling in Love,25-Dec,1962
The Lettermen,3,7,27-Jan,When I Fall in Love,6-Jan,1962
Ray Charles,2,9,13-Jan,Unchain My Heart,6-Jan,1962
Barbara George,6,3,27-Jan,I Know (You Don't Love Me No More),13-Jan,1962
Connie Francis,1,10,13-Jan,When the Boy in Your Arms,13-Jan,1962
Sue Thompson,7,3,24-Feb,Norman,20-Jan,1962
Dion,7,2,24-Feb,The Wanderer,27-Jan,1962
The Shirelles,2,8,3-Feb,Baby It's You,27-Jan,1962
Gene Chandler,8,1,17-Feb,Duke of Earl,3-Feb,1962
