Artist,Number of weeks in top ten,Peak,Peak date,Title,Top ten entry date,Year,Unique Words,Total Words
Adam Wade,5,5,3-Jul,The Writing on the Wall,12-Jun,1961,71,190
The Pips,6,6,10-Jul,Every Beat of My Heart,12-Jun,1961,111,227
Gary U.S. Bonds,8,1,26-Jun,Quarter to Three,12-Jun,1961,69,255
Brook Benton,8,2,10-Jul,The Boll Weevil Song,12-Jun,1961,117,273
Bobby Lewis,12,1,10-Jul,Tossin' and Turnin',19-Jun,1961,67,238
Little Caesar & the Romans,3,9,26-Jun,Those Oldies but Goodies (Remind Me of You),19-Jun,1961,54,147
Arthur Lyman,5,4,24-Jul,Yellow Bird,3-Jul,1961,56,120
Del Shannon,5,5,31-Jul,Hats Off to Larry,10-Jul,1961,69,126
Paul Anka,1,10,10-Jul,Dance on Little Girl,10-Jul,1961,58,155
Floyd Cramer,1,8,17-Jul,San Antonio Rose,17-Jul,1961,73,161
Chris Kenner,7,2,31-Jul,I Like It Like That,17-Jul,1961,64,329
Brenda Lee,6,4,31-Jul,Dum Dum,17-Jul,1961,75,184
Connie Francis,4,6,7-Aug,Together,24-Jul,1961,68,124
Chubby Checker,5,8,7-Aug,Let's Twist Again,24-Jul,1961,77,222
The Mar-Keys,5,3,7-Aug,Last Night,31-Jul,1961,9999,9999
Curtis Lee,4,7,7-Aug,Pretty Little Angel Eyes,7-Aug,1961,51,197
Joe Dowell,7,1,28-Aug,Wooden Heart (Muss i denn),7-Aug,1961,55,97
The Highwaymen,9,1,4-Sep,Michael,7-Aug,1961,29,95
Gary U.S. Bonds,4,5,4-Sep,School Is Out,14-Aug,1961,95,294
Ral Donner,4,4,4-Sep,You Don't Know What You've Got (Until You Lose It),21-Aug,1961,77,225
Linda Scott,2,9,28-Aug,Don't Bet Money Honey,28-Aug,1961,45,162
Timi Yuro,3,4,11-Sep,Hurt,28-Aug,1961,51,87
Bobby Vee,7,1,18-Sep,Take Good Care of My Baby,4-Sep,1961,84,214
The Jive Five,4,3,11-Sep,My True Story,4-Sep,1961,63,187
Adam Wade,2,10,4-Sep,As If I Didn't Know,4-Sep,1961,79,169
Lonnie Donegan,4,5,25-Sep,Does Your Chewing Gum Lose Its Flavor (on the Bedpost Overnight),11-Sep,1961,132,352
Barry Mann,2,7,25-Sep,"Who Put the Bomp (in the Bomp, Bomp, Bomp)",11-Sep,1961,81,342
Elvis Presley,4,5,2-Oct,Little Sister,11-Sep,1961,80,255
Elvis Presley,2,4,18-Sep,(Marie's the Name) His Latest Flame,18-Sep,1961,80,125
Roy Orbison,5,2,9-Oct,Crying,18-Sep,1961,74,147
Johnny Tillotson,2,7,18-Sep,Without You,18-Sep,1961,65,194
Bobby Lewis,1,9,18-Sep,One Track Mind,18-Sep,1961,87,353
The Dreamlovers,1,10,18-Sep,When We Get Married,18-Sep,1961,62,141
Dick and Dee Dee,3,2,25-Sep,The Mountain's High,25-Sep,1961,123,260
Ray Charles,8,1,9-Oct,Hit the Road Jack,2-Oct,1961,71,372
Bob Moore,3,7,2-Oct,Mexico,2-Oct,1961,9999,9999
Bobby Darin,3,5,16-Oct,You Must Have Been a Beautiful Baby,2-Oct,1961,65,228
The Dovells,9,2,23-Oct,Bristol Stomp,2-Oct,1961,86,336
Dion,9,1,23-Oct,Runaround Sue,9-Oct,1961,98,285
Hayley Mills,3,8,23-Oct,Let's Get Together,9-Oct,1961,75,150
Sue Thompson,5,5,23-Oct,Sad Movies (Make Me Cry),16-Oct,1961,74,168
Jimmy Dean,10,1,6-Nov,Big Bad John,16-Oct,1961,166,365
Lee Dorsey,3,7,30-Oct,Ya Ya,16-Oct,1961,36,202
Troy Shondell,6,6,23-Oct,This Time,23-Oct,1961,47,90
The Paris Sisters,3,5,30-Oct,I Love How You Love Me,23-Oct,1961,41,154
Chubby Checker,5,7,13-Nov,The Fly,23-Oct,1961,58,197
Brenda Lee,5,3,13-Nov,Fool #1,6-Nov,1961,58,134
Gene McDaniels,5,5,13-Nov,Tower of Strength,6-Nov,1961,54,194
The Marvelettes,7,1,11-Dec,Please Mr. Postman,13-Nov,1961,85,323
James Darren,7,3,4-Dec,Goodbye Cruel World,20-Nov,1961,102,245
The Marcels,1,7,27-Nov,Heartaches,27-Nov,1961,43,75
Patsy Cline,2,9,27-Nov,Crazy,27-Nov,1961,42,104
Leroy Van Dyke,8,5,11-Dec,Walk on By,4-Dec,1961,64,117
The G-Clefs,1,9,4-Dec,I Understand (Just How You Feel),4-Dec,1961,64,134
The Tokens,8,1,18-Dec,The Lion Sleeps Tonight,11-Dec,1961,18,128
Bobby Vee,6,2,25-Dec,Run to Him,11-Dec,1961,62,165
Ferrante & Teicher,1,8,11-Dec,Tonight,11-Dec,1961,63,94
Sandy Nelson,3,7,18-Dec,Let There Be Drums,11-Dec,1961,9999,9999
Chubby Checker,13,1,13-Jan,The Twist,4-Dec,1962,53,182
Neil Sedaka,6,6,6-Jan,"Happy Birthday, Sweet Sixteen",11-Dec,1962,88,216
Joey Dee and the Starliters,11,1,27-Jan,Peppermint Twist - Part 1,18-Dec,1962,49,171
Elvis Presley,8,2,3-Feb,Can't Help Falling in Love,25-Dec,1962,45,117
The Lettermen,3,7,27-Jan,When I Fall in Love,6-Jan,1962,45,100
Ray Charles,2,9,13-Jan,Unchain My Heart,6-Jan,1962,82,272
Barbara George,6,3,27-Jan,I Know (You Don't Love Me No More),13-Jan,1962,43,213
Connie Francis,1,10,13-Jan,When the Boy in Your Arms,13-Jan,1962,42,117
Sue Thompson,7,3,24-Feb,Norman,20-Jan,1962,77,197
Dion,7,2,24-Feb,The Wanderer,27-Jan,1962,102,326
The Shirelles,2,8,3-Feb,Baby It's You,27-Jan,1962,65,270
